======================================
=== SHEET: Efectividad (21 rows x 16 cols) ===
======================================
 | ¿Próxima Acción? | Sí |  |  |  |  |  |  |  |  |  |  |  |  | 
 | Tipo de Compromiso | Esta semana No |  |  |  |  |  |  |  |  |  |  |  |  | 
 | N° de Próximas acciones |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 | Contexto | Total |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @A la espera | 11 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Casa | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @GoPRO | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Iquique | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Oficina | 1 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Teléfono | 6 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Online | 17 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Offline | 1 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Desarrollo Web | 3 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Búsqueda Internet | 7 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Compras internet | 1 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Email | 7 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Ipad | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Computador | 6 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Mac | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | Grand Total | 70 |  |  |  |  |  |  |  |  |  |  |  |  | 
[20 data rows]

======================================
=== SHEET: PROYECTOS (121 rows x 2 cols) ===
======================================
¿Próxima Acción? | Sí
AREA | (Multiple Items)
Proyecto | N° Acciones
Estamos registrados en Sernatur y operando en regla | 1
Las redes sociales de ANE son visualmente atractivas y a la gente le atrae | 1
Los videos ANE están estructurados y ahora es más rápido la edición de video | 1
NO movimientos de ANE declarados | 1
Sergio tiene su VISA en regla | 1
Tenemos poleras nuevas a un buen precio | 2
Tengo un asesor de empresa para todos los temas relacionados con ANE | 1
Seguimos generando videos de experiences | 3
Mi cuenta de Cairo está cerrada | 1
Hago acciones de bajo costo que generan gran impacto en nuestro negocio de ANE | 1
Tenemos todas las facturas relacionadas con ANE en orden | 1
El branding personal de ANE está muy trabajado y su estrategia está completamente definida | 1
Seguimos agregando nuevos facilitadores en la tribu de ANE | 1
Seguimos ampliando la visibiliad de ANE en internet | 2
Tenemos cuenta de paypal de empresa y está integrada en nuestra web | 1
Sergio y yo Nos organizamos muy bien y trabajamos en equipo excepcionalmente | 1
Tengo un contador para ANE en el que confío y es muy bueno haciendo su trabajo | 3
Tenemos un formulario de clientes para nuestras propias actividades | 1
Tenemos un lugar seguro donde guardar nuestra  material de experiencias: Paddles y otros. A poder ser junto a la furgoneta!! | 1
La furgoneta está ploteada con ANE y Red Paddle y se ve bakan | 2
Sergio tiene su contrato de ANE en regla | 1
Sergio tiene su carnet de conducir chileno | 1
Sergio se encuentra en contínuo aprendizaje y cada día lee más porque le encanta aprender | 1
Sergio es PADI open water | 1
ANE tiene una estrategia definida en conjunto con Pisagua Sumergido para meter paddles en Pisagua | 1
ANE tiene Red Paddle en 3 tiendas de Iquique y nos los han comprado | 1
Tenemos 2 banderas de ANE y las hemos hecho en Perú | 1
Tenemos 2 banderas de Red Paddle y las hemos hecho en Perú | 1
Tenemos una polera de surftrips para hombre brutal!!! | 1
Sergio cada vez sabe más sobre la flora y fauna de la región convirtiéndose en un guía increíble | 1
Nuestras actividades ANE están super bien definidas con precios claros, rutas concretas y tiempos medidos; listas para poder enviar a clientes | 1
ANE tiene pequeños souvenirs que la gente puede comprar | 1
Sergio controla sus gastos y tiene visibilidad sobre dónde se va el dinero y se está preparando a conciencia para cuando tenga lucas!! | 1
Sergio ha cancelado su tarjeta de la Kutxa | 1
En el Marley coffe hay videos de ANE dando vueltas todo el día | 1
Sergio tiene su portátil impeke, con todos los archivos donde tienen que estar y todo lo es necesario está archivado o ya se eliminó | 1
Las tomas que grabamos en ANE son más profesionales y bakanes | 1
La furgoneta del Equipo A de ANE está full equipada para experiences | 2
Sergio tiene Fan Page de atleta bodyboarder y está increíble, se ve excelente y tiene muchas visitas. Está ligada a ANE | 1
Sergio está federado y compite en campeonatos de boadyboard internacionales | 3
ANE tiene clientes que pagan buenas lucas por experiencias | 1
Sergio tiene el certificado de primeros auxilios en Chile | 1
ANE tiene una red inmensa de colaboradores que se sienten parte de ANE | 1
Grand Total | 53
[47 data rows]

======================================
=== SHEET: LISTA de Proyectos y Acciones (863 rows x 26 cols) ===
======================================
Contador | AREA | OBJETIVO | Proyecto | Subproyecto | Acción | ¿Próxima Acción? | Contexto | Contacto | Tiempo | Energía | Fecha inicio | Fecha objetivo | ¿Fecha límite? | Tipo de Compromiso | ¿Activa? | Completada | Fecha finalización | Notas |  |  |  |  |  |  | 
11 | ADMIN INFO |  |  |  | Descargar pdf gratuito de jeronimosanchez.com, inscribirme y definir para qué me sirve su pdf. | Sí | @Online |  | 1. <15' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L12="",O12=""),"",IF(AND(O12="Comprometida",(OR(L12<=TODAY(),L12="")),OR(Q12="",Q12="No"),G12="Sí"),"Sí","No")) | No |  | UNA VEZ HECHA LA ACCIÓN, DEBO DEFINIR DEFINIR PARA QUÉ ME SIRVE ESA INFORMACIÓN, SI PARA ESTUDIAR SU ESTRATEGIA DE MAIL MARKETING, FUENTE DE INFORMACIÓN DE QUÉ ESPECÍFICAMENTE, ETC.  |  |  |  |  |  |  | 
12 | WEB JOX |  | Realizada la Prueba de grabar con micrófono y cámara y he editado el video y el resultado es buenísimo | Continua grabación de videos con gopro en diferentes contextos hablando de GTD | Realizar prueba de grabación con gopro en casa (instalarme el micrófono y grabar con la gopro), para estar listo para mi primer video  | Sí | @GoPRO |  | 1. <15' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L13="",O13=""),"",IF(AND(O13="Comprometida",(OR(L13<=TODAY(),L13="")),OR(Q13="",Q13="No"),G13="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
13 | WEB JOX |  | Realizada la Prueba de grabar con micrófono y cámara y he editado el video y el resultado es buenísimo | Continua grabación de videos con gopro en diferentes contextos hablando de GTD | Editar video de primera grabación de video gopro, con el MAC | No | @Casa |  | 2. 15'-30' | Baja |  |  | No | Esta semana No | =IF(AND(L14="",O14=""),"",IF(AND(O14="Comprometida",(OR(L14<=TODAY(),L14="")),OR(Q14="",Q14="No"),G14="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
14 | GTD |  | Sistema GTD personal en operación y completando mejora continua | Archivador físico comprado e instalado en casa | Buscar tipos de archivadores por internet y elegir el tipo de archivador que quiero | Sí | @Búsqueda Internet |  | 2. 15'-30' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L15="",O15=""),"",IF(AND(O15="Comprometida",(OR(L15<=TODAY(),L15="")),OR(Q15="",Q15="No"),G15="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
15 | GTD |  | Sistema GTD personal en operación y completando mejora continua | Archivador físico comprado e instalado en casa | Comprar archivador | No | @Compras internet |  | 4. 1h-2h' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L16="",O16=""),"",IF(AND(O16="Comprometida",(OR(L16<=TODAY(),L16="")),OR(Q16="",Q16="No"),G16="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
16 | GTD |  | Sistema GTD personal en operación y completando mejora continua | Archivador físico comprado e instalado en casa | Instalar archivador en la mejor ubicación de casa posible | No | @Casa |  | 1. <15' | Baja |  |  | No | Esta semana No | =IF(AND(L17="",O17=""),"",IF(AND(O17="Comprometida",(OR(L17<=TODAY(),L17="")),OR(Q17="",Q17="No"),G17="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
17 | GTD |  | Sistema GTD personal en operación y completando mejora continua | Generador de etiquetas automático comprado | Buscar en internet generador de etiquetas automático comprado; ejemplo http://www.dymo.com/ | Sí | @Búsqueda Internet |  | 2. 15'-30' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L18="",O18=""),"",IF(AND(O18="Comprometida",(OR(L18<=TODAY(),L18="")),OR(Q18="",Q18="No"),G18="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
18 | GTD |  | Sistema GTD personal en operación y completando mejora continua | Generador de etiquetas automático comprado | Comprar generador de etiquetas automático | No | @Compras internet |  | 2. 15'-30' | Baja |  |  | No | Esta semana No | =IF(AND(L19="",O19=""),"",IF(AND(O19="Comprometida",(OR(L19<=TODAY(),L19="")),OR(Q19="",Q19="No"),G19="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
19 | MARCA PERSONAL |  | Mi estrategia de Marca Personal está construida habiendo aplicado el proceso de Personal Branding | Publicado mi post semanal en twitter | Adaptar mi perfil de twitter como coach y formador | No | @Online |  | 2. 15'-30' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L20="",O20=""),"",IF(AND(O20="Comprometida",(OR(L20<=TODAY(),L20="")),OR(Q20="",Q20="No"),G20="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
20 | WEB JOX |  | Mi estrategia de Marca Personal está construida habiendo aplicado el proceso de Personal Branding | Publicado mi post semanal en twitter | Publicar Post en Web | No | @Desarrollo Web |  | 1. <15' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L21="",O21=""),"",IF(AND(O21="Comprometida",(OR(L21<=TODAY(),L21="")),OR(Q21="",Q21="No"),G21="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
21 | GTD |  | Sistema GTD personal en operación y completando mejora continua | Mi sistema continua mejorando | Aprender sobre la utilización de Evernote | No | @Online |  | 4. 1h-2h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L22="",O22=""),"",IF(AND(O22="Comprometida",(OR(L22<=TODAY(),L22="")),OR(Q22="",Q22="No"),G22="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
22 |  |  |  |  | Poner alerta en google con mi normbre para saber cuándo alguien habla algo sobre mí | Sí | @Online |  | 2. 15'-30' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L23="",O23=""),"",IF(AND(O23="Comprometida",(OR(L23<=TODAY(),L23="")),OR(Q23="",Q23="No"),G23="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
23 | COACHING |  | 2o certificado de coaching en mi casa |  | Pasar a buscar mi certificado de coaching a Smartcoach: Suecia 155, Providencia | No | @Calle |  | 3. 30'-1h' | Baja |  |  | No | Esta semana No | =IF(AND(L24="",O24=""),"",IF(AND(O24="Comprometida",(OR(L24<=TODAY(),L24="")),OR(Q24="",Q24="No"),G24="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
24 | KAISEN PERSONAL |  | Disco duro y computadores sin archivos duplicados ni versiones anteriores y subido a Googledrive lo que necesito en todos mis dispositivos |  | Ordenar archivos digitales de computadores y discos duros. Limpiar duplicidades | No | @Casa |  | 5. >2h' | Baja |  |  | No | Esta semana No | =IF(AND(L25="",O25=""),"",IF(AND(O25="Comprometida",(OR(L25<=TODAY(),L25="")),OR(Q25="",Q25="No"),G25="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
25 | KAISEN PERSONAL |  | Disco duro y computadores sin archivos duplicados ni versiones anteriores y subido a Googledrive lo que necesito en todos mis dispositivos |  | Poner en Google drive lo que necesito tener disponible en todos mis dispositivos, una vez organizado mis documentos en discos duros | No | @Oficina |  | 2. 15'-30' | Media |  |  | No | Esta semana No | =IF(AND(L26="",O26=""),"",IF(AND(O26="Comprometida",(OR(L26<=TODAY(),L26="")),OR(Q26="",Q26="No"),G26="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
26 | VIVIR CON ABUNDANCIA |  | Mantengo contacto con una persona que es ejemplo a seguir |  | Decidir y escribir "de qué quiero hablar" "qué quiero preguntar" | No | @Casa |  | 3. 30'-1h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L27="",O27=""),"",IF(AND(O27="Comprometida",(OR(L27<=TODAY(),L27="")),OR(Q27="",Q27="No"),G27="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
27 | MARCA PERSONAL |  |  |  | Leer la misión, visión y valores de Google | Sí | @Online |  | 2. 15'-30' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L28="",O28=""),"",IF(AND(O28="Comprometida",(OR(L28<=TODAY(),L28="")),OR(Q28="",Q28="No"),G28="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
28 | WEB JOX |  | Web finalizada con video de presentación de la web y 1 curso de GTD con video de presentación |  | Esperar a que Rubén me presente versión Beta de mi Jox Web | Sí | @A la espera |  |  |  |  |  | No | Comprometida | =IF(AND(L29="",O29=""),"",IF(AND(O29="Comprometida",(OR(L29<=TODAY(),L29="")),OR(Q29="",Q29="No"),G29="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
29 | ANE |  | Cuenta empresa bancaria de ANE está hecha |  | Enviar información que me pedía el del Santander para retomar la apertura de la cuenta | No | @Teléfono | Constantino@ | 1. <15' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L30="",O30=""),"",IF(AND(O30="Comprometida",(OR(L30<=TODAY(),L30="")),OR(Q30="",Q30="No"),G30="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
30 |  |  | Isra satisfecho con la información recibida respecto al tema legal en chile |  | Pedir información a Sergio Urra sobre impuestos, seguridad social y demás; y escribirla | Sí | @Oficina |  | 2. 15'-30' | Media | 2016-08-22 00:00:00 | 2016-09-08 00:00:00 | Sí | Algún día/Tal vez | =IF(AND(L31="",O31=""),"",IF(AND(O31="Comprometida",(OR(L31<=TODAY(),L31="")),OR(Q31="",Q31="No"),G31="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
31 |  |  | Isra satisfecho con la información recibida respecto al tema legal en chile |  | Enivar información a Isra | No | @Oficina |  | 1. <15' | Baja | 2016-08-22 00:00:00 | 2016-09-08 00:00:00 | Sí | Esta semana No | =IF(AND(L32="",O32=""),"",IF(AND(O32="Comprometida",(OR(L32<=TODAY(),L32="")),OR(Q32="",Q32="No"),G32="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
32 |  |  |  |  | Enviar mail a Nallaret sobre foto iphone del pago de tarjeta de crédito. Gráfico muestra un pico brutal | Sí | @Email |  | 1. <15' | Baja |  |  | No | Esta semana No | =IF(AND(L33="",O33=""),"",IF(AND(O33="Comprometida",(OR(L33<=TODAY(),L33="")),OR(Q33="",Q33="No"),G33="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
33 | GTD |  | Sistema GTD personal en operación y completando mejora continua | Mi sistema continua mejorando | Incluir un quesito con porcentaje y/o número de acciones de cada lista y compararlo con un benchmarking, para tener visibilidad del cumplimiento de tus tareas, qué tipo de tareas tienes, etc | No | @Casa |  | 3. 30'-1h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L34="",O34=""),"",IF(AND(O34="Comprometida",(OR(L34<=TODAY(),L34="")),OR(Q34="",Q34="No"),G34="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
34 |  |  | Mantengo contacto con una persona que es ejemplo a seguir |  | Agregar en Linkedin a las personas que son un ejemplo a seguir y ver sus perfiles para hacer algún cambio en el mío | No | @Online |  | 2. 15'-30' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L35="",O35=""),"",IF(AND(O35="Comprometida",(OR(L35<=TODAY(),L35="")),OR(Q35="",Q35="No"),G35="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
35 | CURSOS |  | Primer curso sobre Vivir con Abundancia dado en Iquique |  | Preparar promoción facebook de conferencia de Vivir con Abundancia en Universidad Santo Tomás | No | @Iquique |  | 5. >2h' | Media |  |  | No | Esta semana No | =IF(AND(L36="",O36=""),"",IF(AND(O36="Comprometida",(OR(L36<=TODAY(),L36="")),OR(Q36="",Q36="No"),G36="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
36 | CURSOS |  | Primer curso sobre Vivir con Abundancia dado en Iquique |  | Hablar con Romerais sobre la posibilidad de dar el curso de Vivir con Abundancia en su Escuela en el futuro | Sí | @Iquique | Romerais@ | 1. <15' | Baja |  |  | No | Tal vez nunca | =IF(AND(L37="",O37=""),"",IF(AND(O37="Comprometida",(OR(L37<=TODAY(),L37="")),OR(Q37="",Q37="No"),G37="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
37 | MAIL MARKETING |  | Preparado mi Estrategia completa de mail marketing | Planes de Mail Marketing de otros analizados | Poner en un word los mails recibidos en mi gmail, por los diferentes ejemplos a seguir, en orden de recepción, con fecha y hora | No | @Online |  | 5. >2h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L38="",O38=""),"",IF(AND(O38="Comprometida",(OR(L38<=TODAY(),L38="")),OR(Q38="",Q38="No"),G38="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
38 | MAIL MARKETING |  | Preparado mi Estrategia completa de mail marketing | Planes de Mail Marketing de otros analizados | Analizar planes de mail marketing de la competencia | No | @Casa |  | 5. >2h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L39="",O39=""),"",IF(AND(O39="Comprometida",(OR(L39<=TODAY(),L39="")),OR(Q39="",Q39="No"),G39="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
39 | MAIL MARKETING |  | Preparado mi Estrategia completa de mail marketing |  | Crear plan de acción para crear mi estrategia de Mail Marketing | No | @Online |  | 5. >2h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L40="",O40=""),"",IF(AND(O40="Comprometida",(OR(L40<=TODAY(),L40="")),OR(Q40="",Q40="No"),G40="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
